team1,score1,team2,score2
Brother Rice,14.0,Bremen,3.0
Chicago U,14.0,Latin,7.0
H-F,10.0,Bradley,9.0
HP,7.0,Deerfield,6.0
Lane,7.0,GBS,4.0
Libertyville,16.0,Warren,5.0
Lindblom,21.0,Kenwood,12.0
LWE,21.0,Sandburg,4.0
Maine East,11.0,Elk Grove,9.0
Maine South,11.0,Loyola,6.0
NC,15.0,Waubonsie,8.0
NN,22.0,Neuqua,12.0
Palatine,14.0,Wheeling,5.0
Shepard,25.0,Leyden,9.0
Stevenson,11.0,Mundelein,6.0
Barrington,13.0,Fremd,10.0
Bremen,7.0,Shepard,6.0
Elk Grove,12.0,Wheeling,10.0
BG,16.0,Hersey,7.0
Kennedy,15.0,Westinghouse,6.0
Lane,11.0,Evanston,9.0
Lindblom,10.0,Kennedy,9.0
Maine West,10.0,GBN,8.0
Metea,12.0,Sandburg,11.0
Neuqua,9.0,STC,8.0
Oak Park,13.0,Loyola,10.0
Palatine,16.0,Hoffman,1.0
Prospect,11.0,Meadows,10.0
Schaumburg,13.0,Conant,2.0
St Patrick,12.0,Curie,4.0
Whitney Young,13.0,St Ignatius,11.0
Andrew,15.0,H-F,3.0
Conant,14.0,Wheeling,12.0
Libertyville,10.0,HP,2.0
Lindblom,8.0,Amundsen,6.0
Lockport,12.0,Sandburg,10.0
LWE,15.0,LWC,7.0
LWW,18.0,Bradley,4.0
Maine East,8.0,Leyden,7.0
Meadows,9.0,Hoffman,8.0
Mt Carmel,21.0,Bremen,15.0
NC,12.0,Whitney Young,10.0
NN,16.0,Fremd,9.0
VH,20.0,Warren,19.0
Shepard,14.0,Argo,6.0
St Rita,11.0,Curie,7.0
Amundsen,11.0,St Ignatius,10.0
BG,14.0,VH,10.0
GBS,13.0,Prospect,4.0
Evanston,6.0,STC,4.0
GBS,16.0,Lake Forest,2.0
Palatine,13.0,GBN,3.0
STC,9.0,Hersey,4.0
Loyola,8.0,GBN,7.0
Neuqua,11.0,Metea,6.0
Brother Rice,11.0,Schaumburg,3.0
Prospect,19.0,Lake Forest,7.0
Palatine,11.0,Loyola,6.0
Evanston,10.0,Hersey,2.0
Hersey,18.0,Lake Forest,7.0
STC,12.0,Prospect,2.0
STC,20.0,Loyola,7.0
Palatine,7.0,GBS,6.0
Evanston,8.0,Palatine,6.0
Evanston,11.0,GBS,5.0
Oak Park,14.0,Bremen,1.0
Bremen,10.0,Morton,1.0
Barrington,15.0,Bremen,4.0
Lane,10.0,Barrington,9.0
Barrington,14.0,Sandburg,7.0
Lane,10.0,Oak Park,7.0
HC,9.0,Lane,7.0
HC,11.0,Curie,5.0
HC,,Morton,
Oak Park,16.0,Curie,10.0
Curie,9.0,Sandburg,8.0
Sandburg,11.0,Morton,0.0
LWW,18.0,Warren,4.0
Fremd,15.0,McHenry,3.0
LWW,14.0,McHenry,5.0
Fremd,16.0,Warren,7.0
McHenry,7.0,Warren,6.0
Fremd,11.0,LWW,6.0
Lyons,7.0,Fenwick,6.0
Lyons,20.0,Niles West,4.0
Fenwick,15.0,Niles West,8.0
Brother Rice,12.0,Metea,5.0
Brother Rice,12.0,Neuqua,7.0
Schaumburg,11.0,Metea,4.0
Neuqua,9.0,Schaumburg,8.0
Mundelein,12.0,Conant,4.0
NC,13.0,H-F,3.0
NC,11.0,Mundelein,5.0
Conant,11.0,H-F,10.0
NC,15.0,Conant,1.0
Mundelein,12.0,H-F,6.0
Stevenson,12.0,St Rita,7.0
York,6.0,Stevenson,5.0
St Rita,5.0,York,4.0
GBN,12.0,Prospect,9.0
H-F,13.0,Shepard,6.0
Hoffman,15.0,Lake Forest,5.0
LWW,18.0,R-B,1.0
Maine West,12.0,Deerfield,5.0
St Ignatius,18.0,Chicago U,11.0
VH,16.0,Latin,5.0
York,18.0,Hersey,6.0
BG,11.0,Maine West,10.0
Brooks,17.0,Kenwood,10.0
